Controller,Avg Reward,Queue,Delay,Carbon,Emergency Clearance Rate
Random,-767.5584552222454,85.96651,3575.7305,1677.1129573765702,100.0
Fixed,-397.28694389374294,20.692366,4.2888746,1677.7380488939948,100.0
Actuated,-332.5160970840883,7.9827538,3.9913769,1192.7542672647614,100.0
SPGRL PPO,-108.6944915812455,0.0,0.0,3029.5667458476846,0.0
