topology,nodes,inference_latency_ms,epoch_latency_ms
1x1,1,1.2294000043766573,3.58700001379475
2x2,4,1.7989000043598935,3.834499992080964
4x4,16,1.3837000005878508,3.3682000066619366
8x8,64,1.4998999977251515,3.61440000415314
