topology,epoch,loss,grad_norm
1x1,0,0.05693819001317024,0.35107968375086784
1x1,10,0.0012997211888432503,0.022527430905029178
1x1,20,0.00030388718005269766,0.007692051061894745
1x1,30,0.0001131006283685565,0.004706568171968684
1x1,40,4.562427056953311e-05,0.003217645105905831
2x2,0,0.023551015183329582,0.15456531032206833
2x2,10,0.00042098682024516165,0.008104535191705509
2x2,20,0.00015130924293771386,0.0030953461539553473
2x2,30,4.638731115846895e-05,0.001525428666113271
2x2,40,2.0413317542988807e-05,0.0010413929399533117
4x4,0,0.022276675328612328,0.14460326154949144
4x4,10,0.0009650146821513772,0.014476531462605635
4x4,20,0.0002654788549989462,0.005719682297012696
4x4,30,9.608862455934286e-05,0.002787613985248072
4x4,40,4.409944449434988e-05,0.0016513538257394416
8x8,0,0.04597565531730652,0.2122729398543015
8x8,10,0.003622296964749694,0.02982823228921916
8x8,20,0.001085470779798925,0.012581664812387316
8x8,30,0.00044264065218158066,0.006608552572743065
8x8,40,0.00019879528554156423,0.00347139494442672
