nodes,epoch,entropy
1,0,1.3828102350234985
1,10,1.379646897315979
1,20,1.3659744262695312
1,30,1.381422519683838
1,40,1.3587316274642944
4,0,1.3681501150131226
4,10,1.3786535263061523
4,20,1.3656487464904785
4,30,1.3744288682937622
4,40,1.3808269500732422
16,0,1.3462319374084473
16,10,1.3735862970352173
16,20,1.3763598203659058
16,30,1.3800686597824097
16,40,1.380145788192749
