Comparison | Shapiro | Levene | Welch P | MannWhitney P | Cohen D | 95% CI
--- | --- | --- | --- | --- | --- | ---
Carbon PPO vs PPO | 0.5990/0.4700 | 0.2857 | 5.6268e-01 | 1.0000e+00 | -0.56 | [-0.13, 0.05]
LSTM vs ARIMA: OMITTED. Reason: The baseline was omitted due to computational constraints.
As vs At (Fusion) | 0.4540/0.1823 | 0.0003 | 4.7654e-56 | 7.0661e-18 | -8.15 | [-0.13, -0.12]
MAPPO vs GNN-MAPPO: OMITTED. Reason: The baseline was omitted due to computational constraints.
A* vs Safety Shield | 0.3844/0.4353 | 0.0000 | 1.9686e-38 | 7.0661e-18 | 6.19 | [67.21, 76.20]
