comparison,metric,mean,median,std,ci_95,p_value,cohens_d,cliffs_delta,effect_size
baseline,descriptive,-0.8745999999999998,-0.9489999999999996,0.301129830803924,0.373902069694424,,,,
feature,descriptive,-1.0565000000000004,-0.8374999999999995,1.1050264137114563,1.3720715149697362,,,,
anomaly,descriptive,-0.8389999999999995,-0.31649999999999995,0.7854664219430384,0.9752853779245997,,,,
full,descriptive,-1.3814999999999997,-0.7649999999999996,1.4446742712459442,1.7938000317373517,,,,
feature vs baseline,comparative,,,,,1.0,-0.22460534285830538,0.36,small
anomaly vs baseline,comparative,,,,,0.8125,0.059849403902283015,0.2,negligible
full vs baseline,comparative,,,,,0.625,-0.48577145271835886,0.12,small
