metric,value
feature_entropy,0.7637758715303007
feature_sparsity,3.75207714991019e-08
eigenvalue_1,6.06787315128133
eigenvalue_2,4.77462664720602
eigenvalue_3,3.708328876156577
eigenvalue_4,2.2185291624256758
eigenvalue_5,1.7774935321486123
eigenvalue_6,1.6448940387944568
eigenvalue_7,1.4949059596082013
eigenvalue_8,1.1749190680977852
eigenvalue_9,1.1004990588957881
eigenvalue_10,1.0466645661138394
