weight,seed,reward,queue,waiting,throughput,fuel,co2,wait_reward,queue_reward,throughput_reward,carbon_reward,variance,policy_loss,value_loss,entropy
0.0,42,-4.211000000000002,421.0,1650.0,122,0.36666666666666686,5.775000000000001,-4.1249999999999964,-2.525999999999999,2.4400000000000017,0.0,0.001321506975,0.0,0.0,0.0
0.0,123,-5.35,470.0,1860.0,106,0.41333333333333355,6.509999999999999,-4.649999999999995,-2.8199999999999967,2.1200000000000014,0.0,0.0018752675000000003,0.0,0.0,0.0
0.0,456,-8.1235,641.0,2479.0,96,0.5508888888888885,8.6765,-6.1975000000000025,-3.845999999999995,1.9200000000000015,0.0,0.0027295224437499997,0.0,0.0,0.0
0.01,42,-4.923321000000006,467.0,1806.0,120,0.4013333333333333,6.320999999999994,-4.514999999999997,-2.8019999999999956,2.4000000000000017,-0.006321000000000006,0.001953403135623975,0.0,0.0,0.0
0.01,123,-5.694678000000002,483.0,1908.0,99,0.4240000000000002,6.678,-4.769999999999996,-2.8979999999999957,1.9800000000000015,-0.006678000000000008,0.0019697864834554,0.0,0.0,0.0
0.01,456,-4.671656500000004,428.0,1759.0,115,0.3908888888888891,6.156499999999998,-4.3974999999999955,-2.5679999999999983,2.3000000000000016,-0.006156500000000007,0.0015622029230764436,0.0,0.0,0.0
0.05,42,-5.3601575,481.0,1809.0,104,0.4020000000000002,6.3314999999999975,-4.522499999999999,-2.8859999999999966,2.0800000000000014,-0.03165750000000001,0.001939545171598594,0.0,0.0,0.0
0.05,123,-5.341877500000003,458.0,1793.0,96,0.3984444444444446,6.275499999999997,-4.482499999999998,-2.7479999999999962,1.9200000000000015,-0.03137750000000002,0.0015362327325935937,0.0,0.0,0.0
0.05,456,-6.229227500000002,573.0,2213.0,139,0.491777777777778,7.745499999999997,-5.532499999999998,-3.437999999999993,2.780000000000002,-0.03872750000000001,0.002701036401862344,0.0,0.0,0.0
0.1,42,-4.757170000000002,414.0,1662.0,97,0.3693333333333335,5.8169999999999975,-4.154999999999997,-2.4839999999999995,1.9400000000000015,-0.05817000000000005,0.0015656483015275002,0.0,0.0,0.0
0.1,123,-6.653764999999997,545.0,2179.0,107,0.4842222222222224,7.6265,-5.4475,-3.2699999999999974,2.1400000000000015,-0.07626500000000004,0.0022656571157443754,0.0,0.0,0.0
0.1,456,-5.792525000000003,493.0,1915.0,101,0.42555555555555563,6.702499999999999,-4.787499999999997,-2.9579999999999984,2.0200000000000014,-0.06702500000000007,0.0017800348562343755,0.0,0.0,0.0
0.25,42,-5.3329,449.0,1816.0,103,0.40355555555555594,6.355999999999997,-4.539999999999998,-2.693999999999998,2.0600000000000014,-0.15890000000000004,0.0018097232725625002,0.0,0.0,0.0
0.25,123,-6.310850000000002,507.0,2044.0,101,0.4542222222222221,7.154000000000001,-5.1099999999999985,-3.0419999999999954,2.0200000000000014,-0.17884999999999987,0.0020769965975625,0.0,0.0,0.0
0.25,456,-5.049712499999997,472.0,1831.0,126,0.4068888888888891,6.408499999999996,-4.577499999999996,-2.8319999999999976,2.520000000000002,-0.16021250000000006,0.002098896789339844,0.0,0.0,0.0
0.5,42,-7.009824999999999,539.0,2219.0,108,0.4931111111111113,7.766499999999999,-5.547500000000002,-3.2339999999999947,2.1600000000000015,-0.38832499999999975,0.002432655208609375,0.0,0.0,0.0
0.5,123,-6.602250000000001,534.0,2190.0,123,0.48666666666666664,7.665000000000002,-5.474999999999993,-3.2039999999999953,2.4600000000000017,-0.38324999999999965,0.0029384502109375,0.0,0.0,0.0
0.5,456,-6.289000000000001,491.0,1960.0,95,0.4355555555555555,6.860000000000001,-4.900000000000001,-2.9459999999999953,1.9000000000000015,-0.3430000000000001,0.0019997041187499996,0.0,0.0,0.0
1.0,42,-7.2535500000000015,513.0,2223.0,108,0.49400000000000005,7.780499999999999,-5.5575,-3.077999999999995,2.1600000000000015,-0.7780499999999997,0.0037870501474375007,0.0,0.0,0.0
1.0,123,-7.8537,575.0,2282.0,105,0.5071111111111115,7.986999999999999,-5.704999999999996,-3.449999999999991,2.1000000000000014,-0.7987,0.0032852909327500002,0.0,0.0,0.0
1.0,456,-7.4722,569.0,2252.0,118,0.5004444444444446,7.882000000000001,-5.629999999999999,-3.4139999999999975,2.3600000000000017,-0.7881999999999997,0.0030159330789999994,0.0,0.0,0.0
